State,City,Popul.,"Yearly Crime Rates per 100,000 people",Total,Violent crime,Arson²,Property crime,Murder,Rape1,Robbery,Aggravated Assault,Total,Burglary
Tennessee,Memphis,"652,765",8357.07,27.73,90.38,529.59,"1,355.62","2,003.32",55.92,"1,460.25","4,224.49",613.08,"6,297.83"
Tennessee,Nashville,"674,942",4966.5,16.30,72.90,303.14,745.84,"1,138.17",10.37,631.31,"2,806.61",380.03,"3,817.96"
Texas,Arlington,"397,377",3721.91,4.78,63.92,144.95,303.24,516.89,7.30,453.22,"2,402.25",342.24,"3,197.72"
Texas,Austin,"971,949",3612.23,2.57,85.81,101.55,224.91,414.84,7.82,450.64,"2,525.03",213.90,"3,189.57"
Texas,Corpus Christi,"329,256",4285.11,6.38,70.46,142.75,482.91,702.49,17.31,677.89,"2,665.40",222.02,"3,565.31"
Texas,Dallas,"1,304,379",3985.95,12.48,62.08,327.00,373.09,774.64,26.22,737.66,"1,856.26",591.16,"3,185.09"
Texas,El Paso,"688,667",2203.25,2.76,53.87,58.08,264.13,378.85,5.52,188.33,"1,514.37",116.17,"1,818.88"
Texas,Fort Worth,"873,069",3792.83,8.02,65.17,147.30,339.72,560.21,17.30,585.98,"2,319.40",309.94,"3,215.32"
Texas,Allen,"236,243",3355.44,3.39,54.60,135.03,123.60,316.62,6.35,513.88,"2,175.73",342.87,"3,032.47"
Texas,Houston,"2,304,580",5252.08,11.50,58.42,417.96,607.34,"1,095.23",28.44,731.66,"2,900.82",495.93,"4,128.41"
Texas,Frisco,"242,062",2775.73,3.30,22.31,94.19,107.00,226.80,9.50,400.31,"1,845.39",293.73,"2,539.43"
Texas,Laredo,"260,669",2832.71,3.84,43.73,59.08,215.22,321.86,27.24,335.29,"2,083.10",65.22,"2,483.61"
Texas,Denton,"290,413",1892.14,5.17,27.89,40.98,75.75,149.79,8.61,250.68,"1,366.33",116.73,"1,733.74"
Texas,San Antonio,"1,434,625",5565.95,8.15,83.51,151.11,464.72,707.50,13.61,770.82,"3,622.65",451.37,"4,844.84"
Virginia,Chesapeake,"240,119",2699.5,4.58,36.23,82.46,295.69,418.96,8.33,276.11,"1,891.98",104.12,"2,272.21"
Virginia,Norfolk,"245,190",4308.09,14.68,55.06,151.31,334.84,555.90,3.26,471.47,"2,984.62",292.83,"3,748.93"
Virginia,Virginia Beach,"454,353",2083.4,3.08,22.45,59.87,52.16,137.56,11.22,165.95,"1,667.65",101.02,"1,934.62"
Washington,Seattle,"721,365",5911.99,3.74,36.87,210.02,382.05,632.69,20.66,"1,081.98","3,673.45",503.21,"5,258.64"
Washington,Spokane,"217,066",7881.01,2.76,109.64,105.50,408.63,626.54,23.03,"1,023.19","5,408.03",800.22,"7,231.44"
Wisconsin,Madison,"255,850",3040.46,4.30,37.13,82.86,250.15,374.44,3.91,362.32,"2,130.94",168.85,"2,662.11"
Wisconsin,Milwaukee,"595,168",5441.99,19.83,72.92,490.45,"1,014.17","1,597.36",52.59,927.13,"1,940.29",924.61,"3,792.04"
