State,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop
New Jersey,0.0,6.26,6.26,43.79,306.56,1851.85,81.33,0.0,56.31
Michigan,0.0,6.26,12.67,202.75,620.92,4137.36,82.37,12.67,56.31
Texas,0.0,28.67,71.67,293.86,623.57,2300.75,193.52,50.17,394.21
Mississippi,16.26,44.13,181.16,204.39,1149.69,2838.23,276.39,23.23,445.94
Florida,0.0,0.0,104.43,417.7,1879.65,4150.89,306.75,26.11,522.13
Pennsylvania,0.0,12.89,25.78,58.01,219.16,2339.82,45.12,0.0,96.69
New Jersey,2.69,26.92,91.52,172.28,734.88,2180.41,495.3,48.45,293.41
New Jersey,0.0,0.0,15.9,55.64,166.93,1009.54,254.37,7.95,71.54
Michigan,9.04,0.0,144.69,479.29,1347.44,3644.42,316.51,144.69,71.54
Massachusetts,0.0,14.23,18.98,4.74,602.52,1556.12,175.54,0.0,37.95
Arkansas,16.54,45.49,194.38,260.55,1683.21,4334.16,244.0,12.41,516.96
Maine,0.0,25.4,25.4,31.75,768.3,3314.5,266.68,38.1,82.54
New York,19.49,101.33,553.43,880.82,2057.84,2864.6,206.56,85.74,1555.07
Pennsylvania,0.0,11.35,3.78,37.82,132.38,1618.82,128.6,0.0,52.95
New Jersey,2.72,21.77,244.88,261.2,976.79,2671.89,982.23,43.53,530.57
Michigan,9.74,21.77,302.07,4058.51,1593.2,4972.05,534.72,103.53,530.57
Georgia,23.94,77.8,520.65,736.09,1705.57,6977.86,1262.72,83.78,1358.47
Virginia,6.27,18.81,25.08,43.9,413.9,2376.77,150.51,25.08,94.07
New Jersey,0.0,6.78,30.52,50.86,328.9,1508.88,328.9,3.39,88.16
California,0.0,42.8,162.66,111.29,1806.35,2619.64,1198.53,0.0,316.75
California,11.05,30.95,375.79,849.94,1038.94,1810.4,1250.04,48.63,1267.73
New Jersey,0.0,7.81,13.01,85.86,450.13,1470.09,78.06,18.21,106.68
New York,6.51,32.54,55.31,97.61,575.87,3100.6,19.52,6.51,191.96
Ohio,0.0,35.72,23.82,83.36,750.22,2857.99,196.49,71.45,142.9
Florida,1.72,36.09,84.21,414.17,1213.29,4844.56,677.1,8.59,536.18
Massachusetts,0.0,89.76,79.2,1510.03,1082.37,2729.67,290.39,0.0,1678.99
West Virginia,4.64,13.92,18.56,204.16,533.59,1336.3,148.48,13.92,241.28
North Carolina,6.71,33.55,248.26,684.38,1617.02,5689.75,369.03,46.97,972.89
Kentucky,0.0,18.13,18.13,54.39,552.99,1441.39,90.65,0.0,90.65
California,0.0,14.42,206.63,1066.79,1004.32,1432.0,595.87,28.83,1287.84
Connecticut,0.0,14.26,89.63,32.59,729.24,3837.69,879.98,10.18,136.48
Indiana,2.15,60.3,77.53,348.87,889.42,4052.98,174.44,10.77,488.86
Louisiana,13.85,41.55,34.63,519.43,921.12,7507.45,415.54,55.41,609.46
Minnesota,12.59,41.55,25.17,138.45,679.67,3901.83,239.14,31.47,609.46
California,6.2,26.33,224.6,342.32,1315.08,3348.87,968.11,4.65,599.45
Florida,10.15,81.16,324.66,1603.0,2054.48,4200.27,390.61,20.29,2018.97
Maine,0.0,0.0,14.43,19.23,841.51,2336.99,144.26,0.0,33.66
Ohio,6.57,59.12,52.55,98.54,551.8,4210.73,157.66,0.0,216.78
Oregon,0.0,20.76,29.65,85.99,495.2,1865.14,163.09,47.44,136.4
Nevada,10.51,84.7,283.66,308.61,1206.22,5256.94,447.16,47.28,687.49
Rhode Island,0.0,3.65,25.57,62.09,693.96,2107.45,540.56,18.26,91.31
Illinois,0.0,3.65,23.95,71.85,277.12,2278.56,130.01,10.26,91.31
Illinois,15.42,3.65,542.39,824.79,2817.74,5875.84,788.35,40.64,91.31
California,20.4,45.89,435.97,1162.58,731.71,1292.61,1009.61,15.3,1664.84
California,1.6,16.04,67.37,208.53,872.61,3057.33,285.52,36.89,293.54
Wisconsin,0.0,15.34,23.01,10.23,536.91,3098.71,158.52,15.34,48.58
Pennsylvania,2.42,14.53,112.63,153.81,360.9,2309.53,433.57,1.21,283.39
Colorado,0.0,11.21,11.21,280.33,504.6,1681.99,123.35,5.61,302.76
Illinois,2.16,11.21,21.6,62.64,316.44,2231.29,71.28,20.52,302.76
California,0.0,4.52,94.99,818.71,1085.58,3148.18,407.09,117.6,918.22
New Jersey,0.0,14.41,50.43,21.61,324.18,2521.43,533.1,7.2,86.45
Rhode Island,4.16,66.54,203.79,910.83,2075.36,6151.22,349.36,178.84,1185.33
Massachusetts,2.37,28.4,75.74,262.73,772.8,1707.73,730.19,24.85,369.24
Minnesota,0.0,28.4,26.07,57.36,472.81,2402.31,345.92,17.38,369.24
Minnesota,0.0,28.4,10.62,63.71,499.04,2089.62,144.4,10.62,369.24
South Carolina,12.73,48.81,254.66,1731.71,1506.76,4817.39,316.21,10.61,2047.92
Colorado,0.0,19.42,49.07,198.32,631.77,2681.43,234.1,27.6,266.81
Wisconsin,0.0,9.4,28.21,47.02,630.11,2529.86,141.07,47.02,84.64
California,6.13,70.54,134.95,432.46,1469.14,5441.05,622.62,27.6,644.09
Rhode Island,2.92,42.33,170.76,242.28,1790.8,2770.12,1120.89,20.43,458.28
Kansas,15.31,84.5,423.15,351.73,1864.49,5186.27,919.33,20.43,874.69
New Jersey,0.0,6.99,13.98,139.79,111.83,1362.97,104.84,0.0,160.76
Ohio,0.0,8.44,50.61,139.79,629.81,3329.02,168.7,0.0,160.76
California,16.39,55.72,422.84,885.01,2291.2,2553.43,1632.36,190.11,1379.97
Utah,10.81,116.06,283.33,387.45,1606.12,7300.09,794.81,45.52,797.66
Missouri,2.42,21.8,55.71,133.21,385.11,2809.6,198.61,21.8,213.14
Georgia,0.0,0.0,135.07,472.73,821.66,4158.93,180.09,22.51,607.8
Alabama,31.17,96.64,601.66,2029.43,2933.47,5265.29,1377.89,118.46,2758.9
Tennessee,3.49,27.92,122.16,188.48,778.36,4624.78,328.1,24.43,342.06
Indiana,8.09,16.18,113.24,48.53,533.85,5629.7,655.18,16.18,186.04
Ohio,0.0,15.7,76.77,19.19,230.31,1854.7,268.7,10.47,111.67
Illinois,21.39,15.7,357.29,569.9,1712.23,4803.3,690.68,105.68,111.67
Florida,0.0,0.0,29.45,323.97,653.83,2974.61,141.37,0.0,353.42
Kentucky,10.52,0.0,68.39,968.01,968.01,4450.76,352.48,36.83,1046.93
New York,0.0,42.44,50.93,458.33,882.7,4888.81,186.73,36.83,551.69
Ohio,11.03,51.45,147.0,573.32,837.93,3590.59,396.91,176.41,782.8
Florida,17.14,77.12,556.96,1872.24,2849.06,6310.78,1225.31,0.0,2523.46
Oregon,0.0,26.46,26.46,227.53,349.22,1502.73,84.66,31.75,280.44
Minnesota,0.0,26.46,28.78,46.76,458.64,4075.61,282.38,21.58,280.44
Pennsylvania,7.78,7.78,62.25,77.81,474.63,3018.99,404.61,7.78,155.62
New Jersey,0.0,9.13,27.38,45.64,264.72,1150.16,164.31,0.0,82.15
California,8.57,41.43,373.54,777.8,1585.59,3183.32,1018.49,35.71,1201.33
South Dakota,0.0,58.23,0.0,232.93,909.88,4440.24,181.98,21.84,291.16
New Jersey,6.85,6.85,20.56,150.81,322.18,2173.02,301.62,0.0,185.08
Texas,0.0,103.62,44.9,269.41,1405.78,3643.96,162.34,41.45,417.93
Ohio,0.0,23.48,73.8,36.9,679.33,3197.02,290.18,31.87,134.19
Wisconsin,0.0,13.45,6.73,188.35,504.51,4984.53,107.63,0.0,208.53
New Jersey,0.0,0.0,11.46,45.85,366.8,1260.89,63.04,0.0,57.31
Michigan,2.57,0.0,20.57,218.53,493.61,3822.92,331.65,10.28,57.31
